token,tf,df,tf-idf
億加權,16,16,1.7279596489691378
一超統,14,9,1.72665460316602
購元,30,18,1.7257388129469498
股金,18,17,1.7254545207248801
感恩,22,15,1.7253753633009896
股並,19,19,1.7248997334391232
若國際,23,22,1.7246784889276612
考驗,23,22,1.7246592829176108
回萬點,22,18,1.7240437190710751
倉萬口,17,17,1.7238960603966673
收收,22,22,1.7238163051932232
回台,22,18,1.7236258895179621
助威,18,17,1.7235025104889654
外匯,19,17,1.7232640578631042
阿拉伯,20,17,1.7231101320350752
欠缺,20,20,1.7216560448384068
感覺,19,18,1.7203384925300917
聯合,22,21,1.7197000126142392
漲點線,19,9,1.7196069421490614
仍佳,20,19,1.7185610121359367
美利,22,20,1.71855592420661
化生,21,19,1.7180133298079454
鏡片,27,19,1.7179533513032847
近關,18,13,1.717254235986566
電今,16,13,1.716944226835239
全文,22,6,1.716851512545206
六大,15,9,1.7164046723514774
節能,26,21,1.7152426688494473
拓展,21,20,1.7143168819930847
台船,22,22,1.7140156488576335
一堆,19,15,1.7139977028665534
黑天,16,12,1.713959551240012
茂林,19,15,1.7139281242394298
失望,19,19,1.7135017303432103
價由元,22,11,1.7133941385106353
選情,17,14,1.7123228765627228
實力,20,15,1.7114984242495288
偏高,20,20,1.7104448345330288
中砂,14,10,1.7098128657317462
利用,20,16,1.7097092073070497
發電,20,18,1.7091399067682707
為滬深,11,11,1.7089113761981671
達方,22,22,1.708280950063761
補量,19,17,1.7073040947865028
積電大立,16,15,1.7072094648142617
計賣,19,19,1.7061958384943
蛇尾,17,15,1.7052614621279019
因市場,22,22,1.704729472005314
減輕,23,20,1.7035706044787355
中租,19,19,1.7034315957514532
線型,22,21,1.7028707365794726
期限,18,14,1.7003802406195865
豐富,20,14,1.699813211389055
順德,22,22,1.6979208191233508
普通股,21,11,1.6972926521520222
商則,20,19,1.6950906546961915
金國泰,17,16,1.6937058820147262
運表現,20,20,1.692800207428465
第度,19,15,1.692041327815466
預期將,20,20,1.691585915097246
億支,20,16,1.6915047427968768
回平盤,18,17,1.6908417391938764
盤價,20,20,1.6899634277001108
盤後股,19,18,1.6896063560442915
公司法,21,19,1.6888714289518139
整個,25,20,1.6888360824607909
矚目,20,20,1.687726280135856
良知,14,14,1.6872212553071582
人數,21,20,1.6870259754640238
薄弱,18,17,1.6869360583916553
光磊,19,13,1.6866804931865442
首要,20,20,1.686620618159651
新能源,22,20,1.6865244471816414
朝向,20,20,1.6850334969884964
效能,19,13,1.681712327489768
鼓舞,19,17,1.6803890596380815
吞噬,14,14,1.6797739079706226
重建,20,17,1.6796068864243348
不夠,24,22,1.6795708070272348
光今,18,18,1.6793681885960094
加密,19,11,1.6793388205450046
警告,23,21,1.6785259134967112
上週,17,16,1.6783769708648129
隨美股,17,16,1.6779046266430686
林成蔭,19,13,1.6775605456345162
價強,20,19,1.6757933290567832
破月線,18,14,1.6752956664095735
高收,18,14,1.674186410215599
光外,16,15,1.6733850509406927
不俗,22,21,1.6714384542980316
中貿易,18,17,1.6697317094632644
股面,20,20,1.6682450214493465
官方,21,19,1.668073215284563
網址,22,17,1.6669154580502863
輪漲,21,16,1.6664390419185737
回年線,18,17,1.6655704476640705
筆電,20,19,1.665544935948947
航運類,19,18,1.6654020691401528
傳聞,19,17,1.6649538788887246
降息,20,15,1.664922647237576
資連日,17,16,1.664041915857223
分享,23,13,1.663458697997713
不敢,20,20,1.6632320186015794
股玉晶,18,18,1.6629867994534706
