token,tf,df,tf-idf
並創,10,10,0.990452851077863
光力,9,8,0.9900725877215899
入帳,11,11,0.9899601896733139
股價震盪,9,9,0.9899306196864825
好兆頭,9,7,0.9899184997346477
普及,12,12,0.989910179081047
銀台,10,10,0.98990405049345
創單,12,12,0.9897912405351212
印證,9,9,0.9897670840257559
交戰,10,10,0.9897626843181532
解析度,14,11,0.9892912773651498
已將,11,11,0.9886992399628554
買單,9,9,0.9886272865393012
電奇力,9,9,0.9884930794451312
將轉,11,11,0.988446914531836
看似,9,8,0.9883412590320256
中低,12,11,0.9883383035848277
京鼎,9,8,0.9881627771941102
場收,9,9,0.9879861254858899
點僅,11,11,0.9872289881083779
南韓,12,11,0.9868287785463346
重傷,10,10,0.9867351309473034
移除,12,9,0.9864605651266504
跌至,11,11,0.9861099030623564
存股,19,6,0.9858601585104873
半月,10,8,0.9857247159073559
轉貶,10,7,0.9852961866996245
車廠,11,9,0.9852482820502404
穩守,10,10,0.9849202930648375
體光,10,10,0.9849187023969976
共和,12,12,0.9844432004983377
手遊,10,10,0.9841786601717286
無畏,9,9,0.9836963868389423
李宜儒,13,13,0.9835135019791093
開會,12,12,0.9833781597215749
億元股,10,10,0.9832396921731915
宏碁,10,8,0.9831805490582926
創高後拉回,9,9,0.9831271127165719
港商,9,9,0.9830859501801251
忽多,10,10,0.9828331693026182
富發,9,9,0.9817743682560991
點下,11,9,0.9816890131412452
聖誕,11,11,0.9814681506942552
一掃,10,10,0.981309071875442
難有,10,10,0.9808103789094887
金華南金,11,11,0.9805319861978764
縱國,10,6,0.9803949630068756
檢視,11,11,0.9803231259614924
信亞洲,11,5,0.9801633627217949
軟台,9,9,0.980094291592582
難脫,9,9,0.9799154702814696
爭端,10,8,0.9796004497955438
巨禾,11,11,0.9789959081780687
保衛,11,10,0.9788866162929538
跌幅已深,10,10,0.9779885065469124
環保,10,10,0.977850796201224
金表,11,11,0.9777676776073382
且量,10,10,0.9772952168005244
精星,10,10,0.9772714212157068
股王國,9,9,0.9772127365950274
股攻,10,10,0.9771182078469858
巴西,12,12,0.9768957260641905
單季合,9,9,0.9768761508491849
忽空,9,9,0.9763889374972415
櫃企業,9,8,0.9760454719102925
風波,10,10,0.9759631182318865
今漲,10,10,0.9757375343408202
均量,12,12,0.9757134124171871
偏鷹,10,10,0.9756194378768921
股若,11,11,0.9752872525095913
記者陳昱光,10,10,0.9751550209278489
吳當傑,11,8,0.9750705093101362
共識,13,12,0.9750669522478818
增早,10,8,0.9749581825502148
商銀,8,7,0.9749181849287465
漲跌家,10,8,0.9749115243102225
